variable,vif
sofa_max,2.320010371008518
lactato_max,1.648383143516194
ph_min,1.6342611743266056
bilirrubina_media,1.6318144425673273
pf_min,1.53157573418901
bicarbonato_min,1.5311775397183265
plaquetas_min,1.4847927478986025
creatinina_max,1.4718535967410251
fio2_max,1.4232403722746283
spo2_min,1.3830914518985602
gcs_min,1.3635547284489105
rr_max,1.3273249310040902
tp_max,1.3252262129936396
hr_media,1.317458771371943
anchor_age,1.2746228974984066
peso_kg,1.2502036197508377
diuresis_ml_kg_12h,1.243417109838954
temp_min,1.2428637913285436
gpt_max,1.22588419931451
leucocitos_min,1.203078139541407
hemoglobina_min,1.1903880496016852
glucemia_min,1.0961904085270415
map_min,1.0901749324778132
contador_estancia_uci,1.0582103012356985
