variable_1,variable_2,rho_spearman
pf_min,fio2_max,-0.5483910421436701
ventilacion_invasiva_12h,gcs_min,-0.5158397093575317
plaquetas_min,sofa_max,-0.4660657886524311
creatinina_max,sofa_max,0.46550992636419425
bilirrubina_media,plaquetas_min,-0.4622038594072932
bilirrubina_media,sofa_max,0.4594946223604967
bilirrubina_media,tp_max,0.4413391071066952
ph_min,bicarbonato_min,0.4261900113890703
pf_min,spo2_min,0.40859374008169047
plaquetas_min,leucocitos_min,0.3843120525715614
lactato_max,bicarbonato_min,-0.3781343010982621
tp_max,sofa_max,0.3665057882786639
spo2_min,rr_max,-0.3653553666771504
creatinina_max,diuresis_ml_kg_12h,-0.3338737139197311
lactato_max,ph_min,-0.3299346278577572
hr_media,rr_max,0.3248879419160783
bilirrubina_media,gpt_max,0.3101163046041376
tp_max,hemoglobina_min,-0.3074196456494686
creatinina_max,bicarbonato_min,-0.304001465661248
spo2_min,ventilacion_invasiva_12h,0.30212252406667117
lactato_max,bilirrubina_media,0.27513743981920485
gcs_min,ph_min,0.27315995434377693
lactato_max,tp_max,0.27313249454967703
lactato_max,sofa_max,0.2679156383039175
gender,peso_kg,0.266905938911462
spo2_min,fio2_max,-0.2662344242779097
tp_max,plaquetas_min,-0.26538253937534256
peso_kg,diuresis_ml_kg_12h,-0.2641057012008889
lactato_max,gpt_max,0.26276311899645405
spo2_min,gcs_min,-0.2587862811193018
pf_min,rr_max,-0.2584403326383939
creatinina_max,ph_min,-0.2583681659510817
ph_min,sofa_max,-0.2571537004564962
gpt_max,sofa_max,0.25117198419685033
rr_max,ventilacion_invasiva_12h,-0.24892126503092146
gcs_min,lactato_max,-0.24492104720566268
pf_min,ph_min,0.24403489717384505
diuresis_ml_kg_12h,sofa_max,-0.24315410941134094
lactato_max,glucemia_min,0.23844801018161127
lactato_max,plaquetas_min,-0.23075234136892214
hr_media,temp_min,0.22986761672635286
gcs_min,sofa_max,-0.22796616853013582
anchor_age,hr_media,-0.22589857036665822
fio2_max,sofa_max,0.22304935929839573
hemoglobina_min,sofa_max,-0.21797410315931132
anchor_age,map_min,-0.21668565764663583
ventilacion_invasiva_12h,ph_min,-0.21275606208030415
rr_max,gcs_min,0.20789807105395253
lactato_max,temp_min,-0.20463882005184916
ph_min,temp_min,0.19965821421220772
fio2_max,ph_min,-0.19489661913119224
gender,creatinina_max,0.19142448294279055
peso_kg,creatinina_max,0.19132220803466768
creatinina_max,tp_max,0.19087655984120322
plaquetas_min,hemoglobina_min,0.18617461813039982
map_min,sofa_max,-0.18497495903518807
bicarbonato_min,sofa_max,-0.1819546419586191
gpt_max,plaquetas_min,-0.1811014082881492
creatinina_max,lactato_max,0.1797373899551112
map_min,hemoglobina_min,0.1777095601950778
contador_estancia_uci,hemoglobina_min,-0.177431870303772
